-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
35.0,-121.875,2020,1,12.51
35.0,-121.25,2020,1,9.59
35.0,-120.625,2020,1,5.75
35.0,-120.0,2020,1,5.99
35.0,-119.375,2020,1,5.78
35.0,-118.75,2020,1,7.5
35.0,-118.125,2020,1,7.95
35.0,-117.5,2020,1,6.73
35.0,-116.875,2020,1,5.82
35.0,-116.25,2020,1,3.83
35.0,-115.625,2020,1,4.52
35.0,-115.0,2020,1,6.18
35.5,-121.875,2020,1,10.86
35.5,-121.25,2020,1,6.41
35.5,-120.625,2020,1,4.31
35.5,-120.0,2020,1,4.07
35.5,-119.375,2020,1,2.96
35.5,-118.75,2020,1,4.78
35.5,-118.125,2020,1,7.63
35.5,-117.5,2020,1,4.76
35.5,-116.875,2020,1,3.61
35.5,-116.25,2020,1,2.46
35.5,-115.625,2020,1,3.6
35.5,-115.0,2020,1,4.48
36.0,-121.875,2020,1,8.39
36.0,-121.25,2020,1,5.99
36.0,-120.625,2020,1,4.68
36.0,-120.0,2020,1,3.79
36.0,-119.375,2020,1,2.89
36.0,-118.75,2020,1,4.26
36.0,-118.125,2020,1,4.65
36.0,-117.5,2020,1,3.27
36.0,-116.875,2020,1,2.63
36.0,-116.25,2020,1,3.59
36.0,-115.625,2020,1,5.65
36.0,-115.0,2020,1,3.42
36.5,-121.875,2020,1,5.3
36.5,-121.25,2020,1,5.28
36.5,-120.625,2020,1,5.1
36.5,-120.0,2020,1,4.59
36.5,-119.375,2020,1,3.08
36.5,-118.75,2020,1,2.48
36.5,-118.125,2020,1,4.04
36.5,-117.5,2020,1,4.11
36.5,-116.875,2020,1,4.51
36.5,-116.25,2020,1,4.76
36.5,-115.625,2020,1,6.46
36.5,-115.0,2020,1,4.77
37.0,-121.875,2020,1,4.15
37.0,-121.25,2020,1,4.19
37.0,-120.625,2020,1,4.26
37.0,-120.0,2020,1,4.54
37.0,-119.375,2020,1,2.82
37.0,-118.75,2020,1,3.5
37.0,-118.125,2020,1,4.63
37.0,-117.5,2020,1,5.56
37.0,-116.875,2020,1,7.06
37.0,-116.25,2020,1,6.97
37.0,-115.625,2020,1,5.56
37.0,-115.0,2020,1,5.34
37.5,-121.875,2020,1,4.49
37.5,-121.25,2020,1,4.34
37.5,-120.625,2020,1,3.83
37.5,-120.0,2020,1,3.46
37.5,-119.375,2020,1,2.34
37.5,-118.75,2020,1,5.16
37.5,-118.125,2020,1,6.11
37.5,-117.5,2020,1,7.49
37.5,-116.875,2020,1,8.39
37.5,-116.25,2020,1,8.08
37.5,-115.625,2020,1,6.62
37.5,-115.0,2020,1,6.67
38.0,-121.875,2020,1,2.72
38.0,-121.25,2020,1,3.47
38.0,-120.625,2020,1,3.46
38.0,-120.0,2020,1,2.56
38.0,-119.375,2020,1,3.28
38.0,-118.75,2020,1,5.95
38.0,-118.125,2020,1,6.63
38.0,-117.5,2020,1,7.38
38.0,-116.875,2020,1,7.91
38.0,-116.25,2020,1,6.56
38.0,-115.625,2020,1,6.03
38.0,-115.0,2020,1,6.51
35.0,-121.875,2020,2,12.96
35.0,-121.25,2020,2,9.91
35.0,-120.625,2020,2,6.75
35.0,-120.0,2020,2,7.74
35.0,-119.375,2020,2,6.34
35.0,-118.75,2020,2,6.66
35.0,-118.125,2020,2,6.01
35.0,-117.5,2020,2,6.78
35.0,-116.875,2020,2,7.23
35.0,-116.25,2020,2,6.54
35.0,-115.625,2020,2,8.95
35.0,-115.0,2020,2,11.32
35.5,-121.875,2020,2,11.55
35.5,-121.25,2020,2,7.06
35.5,-120.625,2020,2,5.54
35.5,-120.0,2020,2,5.79
35.5,-119.375,2020,2,3.6
35.5,-118.75,2020,2,3.31
35.5,-118.125,2020,2,3.24
35.5,-117.5,2020,2,6.0
35.5,-116.875,2020,2,7.7
35.5,-116.25,2020,2,6.69
35.5,-115.625,2020,2,6.78
35.5,-115.0,2020,2,9.11
36.0,-121.875,2020,2,8.99
36.0,-121.25,2020,2,5.83
36.0,-120.625,2020,2,6.55
36.0,-120.0,2020,2,5.9
36.0,-119.375,2020,2,3.79
36.0,-118.75,2020,2,2.83
36.0,-118.125,2020,2,2.54
36.0,-117.5,2020,2,5.89
36.0,-116.875,2020,2,6.51
36.0,-116.25,2020,2,6.41
36.0,-115.625,2020,2,6.94
36.0,-115.0,2020,2,7.28
36.5,-121.875,2020,2,5.75
36.5,-121.25,2020,2,5.71
36.5,-120.625,2020,2,7.86
36.5,-120.0,2020,2,6.3
36.5,-119.375,2020,2,3.41
36.5,-118.75,2020,2,2.34
36.5,-118.125,2020,2,3.21
36.5,-117.5,2020,2,4.35
36.5,-116.875,2020,2,6.06
36.5,-116.25,2020,2,6.38
36.5,-115.625,2020,2,6.79
36.5,-115.0,2020,2,7.27
37.0,-121.875,2020,2,3.7
37.0,-121.25,2020,2,5.76
37.0,-120.625,2020,2,7.53
37.0,-120.0,2020,2,6.01
37.0,-119.375,2020,2,3.44
37.0,-118.75,2020,2,3.26
37.0,-118.125,2020,2,3.86
37.0,-117.5,2020,2,6.89
37.0,-116.875,2020,2,8.52
37.0,-116.25,2020,2,8.29
37.0,-115.625,2020,2,7.06
37.0,-115.0,2020,2,7.26
37.5,-121.875,2020,2,4.08
37.5,-121.25,2020,2,6.69
37.5,-120.625,2020,2,6.66
37.5,-120.0,2020,2,3.66
37.5,-119.375,2020,2,4.1
37.5,-118.75,2020,2,4.72
37.5,-118.125,2020,2,6.2
37.5,-117.5,2020,2,8.11
37.5,-116.875,2020,2,8.3
37.5,-116.25,2020,2,8.2
37.5,-115.625,2020,2,8.78
37.5,-115.0,2020,2,8.24
38.0,-121.875,2020,2,3.82
38.0,-121.25,2020,2,6.09
38.0,-120.625,2020,2,5.25
38.0,-120.0,2020,2,3.88
38.0,-119.375,2020,2,3.68
38.0,-118.75,2020,2,5.17
38.0,-118.125,2020,2,6.62
38.0,-117.5,2020,2,7.09
38.0,-116.875,2020,2,6.72
38.0,-116.25,2020,2,5.96
38.0,-115.625,2020,2,7.4
38.0,-115.0,2020,2,7.52
35.0,-121.875,2020,3,5.13
35.0,-121.25,2020,3,5.18
35.0,-120.625,2020,3,5.72
35.0,-120.0,2020,3,5.48
35.0,-119.375,2020,3,5.72
35.0,-118.75,2020,3,6.38
35.0,-118.125,2020,3,5.19
35.0,-117.5,2020,3,4.26
35.0,-116.875,2020,3,3.44
35.0,-116.25,2020,3,2.73
35.0,-115.625,2020,3,3.72
35.0,-115.0,2020,3,5.41
35.5,-121.875,2020,3,4.54
35.5,-121.25,2020,3,6.76
35.5,-120.625,2020,3,5.62
35.5,-120.0,2020,3,3.68
35.5,-119.375,2020,3,3.53
35.5,-118.75,2020,3,6.32
35.5,-118.125,2020,3,3.8
35.5,-117.5,2020,3,3.65
35.5,-116.875,2020,3,3.7
35.5,-116.25,2020,3,2.79
35.5,-115.625,2020,3,2.8
35.5,-115.0,2020,3,3.87
36.0,-121.875,2020,3,3.75
36.0,-121.25,2020,3,5.01
36.0,-120.625,2020,3,5.75
36.0,-120.0,2020,3,3.98
36.0,-119.375,2020,3,1.99
36.0,-118.75,2020,3,3.38
36.0,-118.125,2020,3,4.14
36.0,-117.5,2020,3,2.5
36.0,-116.875,2020,3,3.12
36.0,-116.25,2020,3,2.64
36.0,-115.625,2020,3,2.46
36.0,-115.0,2020,3,3.64
36.5,-121.875,2020,3,4.03
36.5,-121.25,2020,3,5.64
36.5,-120.625,2020,3,5.06
36.5,-120.0,2020,3,3.34
36.5,-119.375,2020,3,3.2
36.5,-118.75,2020,3,2.73
36.5,-118.125,2020,3,4.18
36.5,-117.5,2020,3,2.63
36.5,-116.875,2020,3,2.67
36.5,-116.25,2020,3,3.11
36.5,-115.625,2020,3,2.19
36.5,-115.0,2020,3,4.12
37.0,-121.875,2020,3,3.31
37.0,-121.25,2020,3,4.34
37.0,-120.625,2020,3,4.87
37.0,-120.0,2020,3,4.34
37.0,-119.375,2020,3,3.15
37.0,-118.75,2020,3,3.28
37.0,-118.125,2020,3,2.82
37.0,-117.5,2020,3,3.22
37.0,-116.875,2020,3,5.17
37.0,-116.25,2020,3,4.05
37.0,-115.625,2020,3,2.32
37.0,-115.0,2020,3,3.68
37.5,-121.875,2020,3,3.61
37.5,-121.25,2020,3,4.92
37.5,-120.625,2020,3,5.41
37.5,-120.0,2020,3,4.43
37.5,-119.375,2020,3,3.55
37.5,-118.75,2020,3,6.81
37.5,-118.125,2020,3,2.87
37.5,-117.5,2020,3,3.91
37.5,-116.875,2020,3,4.72
37.5,-116.25,2020,3,3.72
37.5,-115.625,2020,3,3.39
37.5,-115.0,2020,3,3.69
38.0,-121.875,2020,3,3.53
38.0,-121.25,2020,3,5.25
38.0,-120.625,2020,3,5.24
38.0,-120.0,2020,3,3.9
38.0,-119.375,2020,3,4.76
38.0,-118.75,2020,3,8.03
38.0,-118.125,2020,3,2.66
38.0,-117.5,2020,3,3.44
38.0,-116.875,2020,3,3.33
38.0,-116.25,2020,3,3.16
38.0,-115.625,2020,3,2.8
38.0,-115.0,2020,3,2.95
35.0,-121.875,2020,4,11.79
35.0,-121.25,2020,4,9.05
35.0,-120.625,2020,4,4.46
35.0,-120.0,2020,4,2.84
35.0,-119.375,2020,4,2.82
35.0,-118.75,2020,4,3.9
35.0,-118.125,2020,4,5.15
35.0,-117.5,2020,4,5.13
35.0,-116.875,2020,4,4.91
35.0,-116.25,2020,4,2.74
35.0,-115.625,2020,4,2.65
35.0,-115.0,2020,4,3.8
35.5,-121.875,2020,4,10.38
35.5,-121.25,2020,4,6.48
35.5,-120.625,2020,4,3.15
35.5,-120.0,2020,4,3.1
35.5,-119.375,2020,4,2.2
35.5,-118.75,2020,4,3.09
35.5,-118.125,2020,4,5.85
35.5,-117.5,2020,4,3.04
35.5,-116.875,2020,4,3.05
35.5,-116.25,2020,4,2.77
35.5,-115.625,2020,4,4.53
35.5,-115.0,2020,4,3.23
36.0,-121.875,2020,4,7.43
36.0,-121.25,2020,4,3.64
36.0,-120.625,2020,4,3.35
36.0,-120.0,2020,4,3.91
36.0,-119.375,2020,4,2.72
36.0,-118.75,2020,4,2.76
36.0,-118.125,2020,4,4.97
36.0,-117.5,2020,4,2.29
36.0,-116.875,2020,4,1.67
36.0,-116.25,2020,4,3.22
36.0,-115.625,2020,4,4.82
36.0,-115.0,2020,4,2.17
36.5,-121.875,2020,4,4.77
36.5,-121.25,2020,4,2.96
36.5,-120.625,2020,4,4.35
36.5,-120.0,2020,4,3.74
36.5,-119.375,2020,4,3.29
36.5,-118.75,2020,4,2.56
36.5,-118.125,2020,4,5.68
36.5,-117.5,2020,4,2.35
36.5,-116.875,2020,4,2.2
36.5,-116.25,2020,4,3.32
36.5,-115.625,2020,4,4.99
36.5,-115.0,2020,4,2.87
37.0,-121.875,2020,4,2.95
37.0,-121.25,2020,4,3.02
37.0,-120.625,2020,4,4.05
37.0,-120.0,2020,4,3.5
37.0,-119.375,2020,4,2.67
37.0,-118.75,2020,4,4.42
37.0,-118.125,2020,4,4.82
37.0,-117.5,2020,4,2.83
37.0,-116.875,2020,4,3.18
37.0,-116.25,2020,4,2.76
37.0,-115.625,2020,4,3.5
37.0,-115.0,2020,4,2.92
37.5,-121.875,2020,4,3.41
37.5,-121.25,2020,4,3.19
37.5,-120.625,2020,4,3.27
37.5,-120.0,2020,4,3.85
37.5,-119.375,2020,4,2.05
37.5,-118.75,2020,4,8.24
37.5,-118.125,2020,4,3.55
37.5,-117.5,2020,4,3.02
37.5,-116.875,2020,4,4.33
37.5,-116.25,2020,4,3.46
37.5,-115.625,2020,4,2.9
37.5,-115.0,2020,4,3.27
38.0,-121.875,2020,4,3.19
38.0,-121.25,2020,4,3.35
38.0,-120.625,2020,4,3.11
38.0,-120.0,2020,4,3.23
38.0,-119.375,2020,4,5.11
38.0,-118.75,2020,4,9.77
38.0,-118.125,2020,4,3.65
38.0,-117.5,2020,4,3.46
38.0,-116.875,2020,4,3.94
38.0,-116.25,2020,4,3.57
38.0,-115.625,2020,4,3.33
38.0,-115.0,2020,4,3.82
35.0,-121.875,2020,5,13.98
35.0,-121.25,2020,5,11.24
35.0,-120.625,2020,5,8.76
35.0,-120.0,2020,5,9.42
35.0,-119.375,2020,5,8.32
35.0,-118.75,2020,5,8.73
35.0,-118.125,2020,5,7.91
35.0,-117.5,2020,5,4.46
35.0,-116.875,2020,5,4.41
35.0,-116.25,2020,5,5.53
35.0,-115.625,2020,5,5.26
35.0,-115.0,2020,5,6.1
35.5,-121.875,2020,5,12.2
35.5,-121.25,2020,5,8.71
35.5,-120.625,2020,5,7.62
35.5,-120.0,2020,5,8.01
35.5,-119.375,2020,5,7.26
35.5,-118.75,2020,5,6.57
35.5,-118.125,2020,5,6.79
35.5,-117.5,2020,5,4.12
35.5,-116.875,2020,5,4.17
35.5,-116.25,2020,5,4.52
35.5,-115.625,2020,5,4.02
35.5,-115.0,2020,5,4.62
36.0,-121.875,2020,5,9.75
36.0,-121.25,2020,5,7.75
36.0,-120.625,2020,5,7.81
36.0,-120.0,2020,5,8.42
36.0,-119.375,2020,5,7.59
36.0,-118.75,2020,5,4.81
36.0,-118.125,2020,5,4.61
36.0,-117.5,2020,5,4.36
36.0,-116.875,2020,5,3.73
36.0,-116.25,2020,5,4.41
36.0,-115.625,2020,5,4.94
36.0,-115.0,2020,5,4.02
36.5,-121.875,2020,5,7.18
36.5,-121.25,2020,5,6.88
36.5,-120.625,2020,5,8.3
36.5,-120.0,2020,5,8.76
36.5,-119.375,2020,5,6.41
36.5,-118.75,2020,5,2.6
36.5,-118.125,2020,5,3.99
36.5,-117.5,2020,5,3.74
36.5,-116.875,2020,5,4.97
36.5,-116.25,2020,5,5.6
36.5,-115.625,2020,5,6.06
36.5,-115.0,2020,5,4.44
37.0,-121.875,2020,5,5.04
37.0,-121.25,2020,5,6.31
37.0,-120.625,2020,5,8.04
37.0,-120.0,2020,5,8.43
37.0,-119.375,2020,5,3.92
37.0,-118.75,2020,5,3.38
37.0,-118.125,2020,5,3.07
37.0,-117.5,2020,5,5.75
37.0,-116.875,2020,5,7.68
37.0,-116.25,2020,5,7.6
37.0,-115.625,2020,5,6.12
37.0,-115.0,2020,5,6.0
37.5,-121.875,2020,5,5.39
37.5,-121.25,2020,5,6.55
37.5,-120.625,2020,5,7.36
37.5,-120.0,2020,5,5.79
