-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
32.5,-120.0,2022,1,13.27
32.5,-119.375,2022,1,12.09
32.5,-118.75,2022,1,10.1
32.5,-118.125,2022,1,8.37
32.5,-117.5,2022,1,5.95
32.5,-116.875,2022,1,6.79
32.5,-116.25,2022,1,6.63
32.5,-115.625,2022,1,5.63
32.5,-115.0,2022,1,7.31
32.5,-114.375,2022,1,8.3
33.0,-120.0,2022,1,12.46
33.0,-119.375,2022,1,10.65
33.0,-118.75,2022,1,8.53
33.0,-118.125,2022,1,7.61
33.0,-117.5,2022,1,5.35
33.0,-116.875,2022,1,5.8
33.0,-116.25,2022,1,4.77
33.0,-115.625,2022,1,6.66
33.0,-115.0,2022,1,8.56
33.0,-114.375,2022,1,9.51
33.5,-120.0,2022,1,11.38
33.5,-119.375,2022,1,8.04
33.5,-118.75,2022,1,7.05
33.5,-118.125,2022,1,6.18
33.5,-117.5,2022,1,5.7
33.5,-116.875,2022,1,3.84
33.5,-116.25,2022,1,5.47
33.5,-115.625,2022,1,8.32
33.5,-115.0,2022,1,9.42
33.5,-114.375,2022,1,10.08
34.0,-120.0,2022,1,8.26
34.0,-119.375,2022,1,5.58
34.0,-118.75,2022,1,5.33
34.0,-118.125,2022,1,5.79
34.0,-117.5,2022,1,7.25
34.0,-116.875,2022,1,7.29
34.0,-116.25,2022,1,8.07
34.0,-115.625,2022,1,8.17
34.0,-115.0,2022,1,9.38
34.0,-114.375,2022,1,9.91
34.5,-120.0,2022,1,7.18
34.5,-119.375,2022,1,4.97
34.5,-118.75,2022,1,6.6
34.5,-118.125,2022,1,7.54
34.5,-117.5,2022,1,7.36
34.5,-116.875,2022,1,7.68
34.5,-116.25,2022,1,8.41
34.5,-115.625,2022,1,8.2
34.5,-115.0,2022,1,9.87
34.5,-114.375,2022,1,10.52
32.5,-120.0,2022,2,5.54
32.5,-119.375,2022,2,5.76
32.5,-118.75,2022,2,4.79
32.5,-118.125,2022,2,4.6
32.5,-117.5,2022,2,6.69
32.5,-116.875,2022,2,7.16
32.5,-116.25,2022,2,4.54
32.5,-115.625,2022,2,3.39
32.5,-115.0,2022,2,3.74
32.5,-114.375,2022,2,5.9
33.0,-120.0,2022,2,5.6
33.0,-119.375,2022,2,5.01
33.0,-118.75,2022,2,5.35
33.0,-118.125,2022,2,6.76
33.0,-117.5,2022,2,7.68
33.0,-116.875,2022,2,7.84
33.0,-116.25,2022,2,4.8
33.0,-115.625,2022,2,4.58
33.0,-115.0,2022,2,5.89
33.0,-114.375,2022,2,5.65
33.5,-120.0,2022,2,5.56
33.5,-119.375,2022,2,6.4
33.5,-118.75,2022,2,6.04
33.5,-118.125,2022,2,5.61
33.5,-117.5,2022,2,5.71
33.5,-116.875,2022,2,5.13
33.5,-116.25,2022,2,3.67
33.5,-115.625,2022,2,5.53
33.5,-115.0,2022,2,5.77
33.5,-114.375,2022,2,4.27
34.0,-120.0,2022,2,6.26
34.0,-119.375,2022,2,7.12
34.0,-118.75,2022,2,6.44
34.0,-118.125,2022,2,5.67
34.0,-117.5,2022,2,5.02
34.0,-116.875,2022,2,4.43
34.0,-116.25,2022,2,3.37
34.0,-115.625,2022,2,4.47
34.0,-115.0,2022,2,5.29
34.0,-114.375,2022,2,3.84
34.5,-120.0,2022,2,5.04
34.5,-119.375,2022,2,3.32
34.5,-118.75,2022,2,6.05
34.5,-118.125,2022,2,5.75
34.5,-117.5,2022,2,4.58
34.5,-116.875,2022,2,3.99
34.5,-116.25,2022,2,3.15
34.5,-115.625,2022,2,4.66
34.5,-115.0,2022,2,6.38
34.5,-114.375,2022,2,4.11
32.5,-120.0,2022,3,8.86
32.5,-119.375,2022,3,8.8
32.5,-118.75,2022,3,8.45
32.5,-118.125,2022,3,7.1
32.5,-117.5,2022,3,5.89
32.5,-116.875,2022,3,4.26
32.5,-116.25,2022,3,3.68
32.5,-115.625,2022,3,4.0
32.5,-115.0,2022,3,3.68
32.5,-114.375,2022,3,4.26
33.0,-120.0,2022,3,9.18
33.0,-119.375,2022,3,9.07
33.0,-118.75,2022,3,8.35
33.0,-118.125,2022,3,6.84
33.0,-117.5,2022,3,5.27
33.0,-116.875,2022,3,4.2
33.0,-116.25,2022,3,3.84
33.0,-115.625,2022,3,3.99
33.0,-115.0,2022,3,4.55
33.0,-114.375,2022,3,4.18
33.5,-120.0,2022,3,9.42
33.5,-119.375,2022,3,8.93
33.5,-118.75,2022,3,7.17
33.5,-118.125,2022,3,4.91
33.5,-117.5,2022,3,3.64
33.5,-116.875,2022,3,2.98
33.5,-116.25,2022,3,2.84
33.5,-115.625,2022,3,5.1
33.5,-115.0,2022,3,4.72
33.5,-114.375,2022,3,3.68
34.0,-120.0,2022,3,8.49
34.0,-119.375,2022,3,6.26
34.0,-118.75,2022,3,4.38
34.0,-118.125,2022,3,3.47
34.0,-117.5,2022,3,3.55
34.0,-116.875,2022,3,3.98
34.0,-116.25,2022,3,3.02
34.0,-115.625,2022,3,3.97
34.0,-115.0,2022,3,5.08
34.0,-114.375,2022,3,3.56
34.5,-120.0,2022,3,6.6
34.5,-119.375,2022,3,2.82
34.5,-118.75,2022,3,4.22
34.5,-118.125,2022,3,3.75
34.5,-117.5,2022,3,3.92
34.5,-116.875,2022,3,3.59
34.5,-116.25,2022,3,3.76
34.5,-115.625,2022,3,4.11
34.5,-115.0,2022,3,6.61
34.5,-114.375,2022,3,4.06
32.5,-120.0,2022,4,10.4
32.5,-119.375,2022,4,9.87
32.5,-118.75,2022,4,9.13
32.5,-118.125,2022,4,7.1
32.5,-117.5,2022,4,4.8
32.5,-116.875,2022,4,3.19
32.5,-116.25,2022,4,4.12
32.5,-115.625,2022,4,4.01
32.5,-115.0,2022,4,2.66
32.5,-114.375,2022,4,2.88
33.0,-120.0,2022,4,10.1
33.0,-119.375,2022,4,9.89
33.0,-118.75,2022,4,8.51
33.0,-118.125,2022,4,5.43
33.0,-117.5,2022,4,4.36
33.0,-116.875,2022,4,3.13
33.0,-116.25,2022,4,4.07
33.0,-115.625,2022,4,2.53
33.0,-115.0,2022,4,4.04
33.0,-114.375,2022,4,3.45
33.5,-120.0,2022,4,10.25
33.5,-119.375,2022,4,8.67
33.5,-118.75,2022,4,5.68
33.5,-118.125,2022,4,4.56
33.5,-117.5,2022,4,3.85
33.5,-116.875,2022,4,2.6
33.5,-116.25,2022,4,2.64
33.5,-115.625,2022,4,3.97
33.5,-115.0,2022,4,3.38
33.5,-114.375,2022,4,3.49
34.0,-120.0,2022,4,8.29
34.0,-119.375,2022,4,5.8
34.0,-118.75,2022,4,4.6
34.0,-118.125,2022,4,3.23
34.0,-117.5,2022,4,3.11
34.0,-116.875,2022,4,3.01
34.0,-116.25,2022,4,3.6
34.0,-115.625,2022,4,3.29
34.0,-115.0,2022,4,3.35
34.0,-114.375,2022,4,3.44
34.5,-120.0,2022,4,5.58
34.5,-119.375,2022,4,4.39
34.5,-118.75,2022,4,6.66
34.5,-118.125,2022,4,4.92
34.5,-117.5,2022,4,3.71
34.5,-116.875,2022,4,3.94
34.5,-116.25,2022,4,4.94
34.5,-115.625,2022,4,3.22
34.5,-115.0,2022,4,3.62
34.5,-114.375,2022,4,4.01
32.5,-120.0,2022,5,10.87
32.5,-119.375,2022,5,9.12
32.5,-118.75,2022,5,7.31
32.5,-118.125,2022,5,5.59
32.5,-117.5,2022,5,3.54
32.5,-116.875,2022,5,3.97
32.5,-116.25,2022,5,3.23
32.5,-115.625,2022,5,2.97
32.5,-115.0,2022,5,3.42
32.5,-114.375,2022,5,3.56
33.0,-120.0,2022,5,10.81
33.0,-119.375,2022,5,9.34
33.0,-118.75,2022,5,7.24
33.0,-118.125,2022,5,4.62
33.0,-117.5,2022,5,3.18
33.0,-116.875,2022,5,4.47
33.0,-116.25,2022,5,3.41
33.0,-115.625,2022,5,2.64
33.0,-115.0,2022,5,4.32
