-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
35.0,-121.875,2022,1,11.04
35.0,-121.25,2022,1,9.06
35.0,-120.625,2022,1,5.99
35.0,-120.0,2022,1,5.25
35.0,-119.375,2022,1,5.23
35.0,-118.75,2022,1,5.36
35.0,-118.125,2022,1,6.66
35.0,-117.5,2022,1,7.31
35.0,-116.875,2022,1,7.27
35.0,-116.25,2022,1,7.7
35.0,-115.625,2022,1,10.02
35.0,-115.0,2022,1,12.02
35.5,-121.875,2022,1,9.17
35.5,-121.25,2022,1,5.88
35.5,-120.625,2022,1,4.96
35.5,-120.0,2022,1,3.73
35.5,-119.375,2022,1,2.55
35.5,-118.75,2022,1,4.74
35.5,-118.125,2022,1,4.63
35.5,-117.5,2022,1,6.55
35.5,-116.875,2022,1,7.79
35.5,-116.25,2022,1,7.57
35.5,-115.625,2022,1,7.46
35.5,-115.0,2022,1,9.9
36.0,-121.875,2022,1,6.84
36.0,-121.25,2022,1,3.95
36.0,-120.625,2022,1,4.23
36.0,-120.0,2022,1,4.48
36.0,-119.375,2022,1,2.19
36.0,-118.75,2022,1,3.33
36.0,-118.125,2022,1,3.26
36.0,-117.5,2022,1,6.04
36.0,-116.875,2022,1,6.87
36.0,-116.25,2022,1,7.13
36.0,-115.625,2022,1,8.65
36.0,-115.0,2022,1,9.17
36.5,-121.875,2022,1,4.34
36.5,-121.25,2022,1,3.33
36.5,-120.625,2022,1,5.07
36.5,-120.0,2022,1,4.6
36.5,-119.375,2022,1,2.28
36.5,-118.75,2022,1,2.38
36.5,-118.125,2022,1,2.69
36.5,-117.5,2022,1,3.84
36.5,-116.875,2022,1,6.11
36.5,-116.25,2022,1,6.9
36.5,-115.625,2022,1,7.72
36.5,-115.0,2022,1,10.42
37.0,-121.875,2022,1,2.73
37.0,-121.25,2022,1,3.13
37.0,-120.625,2022,1,3.83
37.0,-120.0,2022,1,2.67
37.0,-119.375,2022,1,3.81
37.0,-118.75,2022,1,3.13
37.0,-118.125,2022,1,3.29
37.0,-117.5,2022,1,6.23
37.0,-116.875,2022,1,8.41
37.0,-116.25,2022,1,8.99
37.0,-115.625,2022,1,7.61
37.0,-115.0,2022,1,8.63
37.5,-121.875,2022,1,2.93
37.5,-121.25,2022,1,3.94
37.5,-120.625,2022,1,3.01
37.5,-120.0,2022,1,4.05
37.5,-119.375,2022,1,4.24
37.5,-118.75,2022,1,3.74
37.5,-118.125,2022,1,4.78
37.5,-117.5,2022,1,6.98
37.5,-116.875,2022,1,9.19
37.5,-116.25,2022,1,9.13
37.5,-115.625,2022,1,8.94
37.5,-115.0,2022,1,9.1
38.0,-121.875,2022,1,3.45
38.0,-121.25,2022,1,3.08
38.0,-120.625,2022,1,3.4
38.0,-120.0,2022,1,4.85
38.0,-119.375,2022,1,3.67
38.0,-118.75,2022,1,4.68
38.0,-118.125,2022,1,5.65
38.0,-117.5,2022,1,7.56
38.0,-116.875,2022,1,6.78
38.0,-116.25,2022,1,6.86
38.0,-115.625,2022,1,7.46
38.0,-115.0,2022,1,8.17
35.0,-121.875,2022,2,4.35
35.0,-121.25,2022,2,4.02
35.0,-120.625,2022,2,3.89
35.0,-120.0,2022,2,4.4
35.0,-119.375,2022,2,5.65
35.0,-118.75,2022,2,6.97
35.0,-118.125,2022,2,6.46
35.0,-117.5,2022,2,5.65
35.0,-116.875,2022,2,4.23
35.0,-116.25,2022,2,2.99
35.0,-115.625,2022,2,5.65
35.0,-115.0,2022,2,6.46
35.5,-121.875,2022,2,4.69
35.5,-121.25,2022,2,4.4
35.5,-120.625,2022,2,3.57
35.5,-120.0,2022,2,3.43
35.5,-119.375,2022,2,5.0
35.5,-118.75,2022,2,7.02
35.5,-118.125,2022,2,5.23
35.5,-117.5,2022,2,4.51
35.5,-116.875,2022,2,3.33
35.5,-116.25,2022,2,3.57
35.5,-115.625,2022,2,5.75
35.5,-115.0,2022,2,3.76
36.0,-121.875,2022,2,4.79
36.0,-121.25,2022,2,4.15
36.0,-120.625,2022,2,3.72
36.0,-120.0,2022,2,2.48
36.0,-119.375,2022,2,2.92
36.0,-118.75,2022,2,3.23
36.0,-118.125,2022,2,1.82
36.0,-117.5,2022,2,2.34
36.0,-116.875,2022,2,1.84
36.0,-116.25,2022,2,2.66
36.0,-115.625,2022,2,5.0
36.0,-115.0,2022,2,3.63
36.5,-121.875,2022,2,4.77
36.5,-121.25,2022,2,4.82
36.5,-120.625,2022,2,4.11
36.5,-120.0,2022,2,2.92
36.5,-119.375,2022,2,2.98
36.5,-118.75,2022,2,1.58
36.5,-118.125,2022,2,2.38
36.5,-117.5,2022,2,2.77
36.5,-116.875,2022,2,2.52
36.5,-116.25,2022,2,4.18
36.5,-115.625,2022,2,3.89
36.5,-115.0,2022,2,3.42
37.0,-121.875,2022,2,3.72
37.0,-121.25,2022,2,3.98
37.0,-120.625,2022,2,4.5
37.0,-120.0,2022,2,3.77
37.0,-119.375,2022,2,2.67
37.0,-118.75,2022,2,2.25
37.0,-118.125,2022,2,2.5
37.0,-117.5,2022,2,2.9
37.0,-116.875,2022,2,3.37
37.0,-116.25,2022,2,4.43
37.0,-115.625,2022,2,2.9
37.0,-115.0,2022,2,3.04
37.5,-121.875,2022,2,4.44
37.5,-121.25,2022,2,3.96
37.5,-120.625,2022,2,4.71
37.5,-120.0,2022,2,3.53
37.5,-119.375,2022,2,2.54
37.5,-118.75,2022,2,4.83
37.5,-118.125,2022,2,2.93
37.5,-117.5,2022,2,4.58
37.5,-116.875,2022,2,5.12
37.5,-116.25,2022,2,4.57
37.5,-115.625,2022,2,3.6
37.5,-115.0,2022,2,3.73
38.0,-121.875,2022,2,2.91
38.0,-121.25,2022,2,4.11
38.0,-120.625,2022,2,4.53
38.0,-120.0,2022,2,3.25
38.0,-119.375,2022,2,3.74
38.0,-118.75,2022,2,5.76
38.0,-118.125,2022,2,3.13
38.0,-117.5,2022,2,5.09
38.0,-116.875,2022,2,4.96
38.0,-116.25,2022,2,4.97
38.0,-115.625,2022,2,4.45
38.0,-115.0,2022,2,4.46
35.0,-121.875,2022,3,4.22
35.0,-121.25,2022,3,5.36
35.0,-120.625,2022,3,5.68
35.0,-120.0,2022,3,4.98
35.0,-119.375,2022,3,3.93
35.0,-118.75,2022,3,3.41
35.0,-118.125,2022,3,3.51
35.0,-117.5,2022,3,3.76
35.0,-116.875,2022,3,4.0
35.0,-116.25,2022,3,2.56
35.0,-115.625,2022,3,4.21
35.0,-115.0,2022,3,6.74
35.5,-121.875,2022,3,3.66
35.5,-121.25,2022,3,4.27
35.5,-120.625,2022,3,4.5
35.5,-120.0,2022,3,4.09
35.5,-119.375,2022,3,3.53
35.5,-118.75,2022,3,3.83
35.5,-118.125,2022,3,4.29
35.5,-117.5,2022,3,3.42
35.5,-116.875,2022,3,2.83
35.5,-116.25,2022,3,3.23
35.5,-115.625,2022,3,4.33
35.5,-115.0,2022,3,3.5
36.0,-121.875,2022,3,3.35
36.0,-121.25,2022,3,3.22
36.0,-120.625,2022,3,2.93
36.0,-120.0,2022,3,4.05
36.0,-119.375,2022,3,3.15
36.0,-118.75,2022,3,2.52
36.0,-118.125,2022,3,5.4
36.0,-117.5,2022,3,4.85
36.0,-116.875,2022,3,2.25
36.0,-116.25,2022,3,2.99
36.0,-115.625,2022,3,4.25
36.0,-115.0,2022,3,4.13
36.5,-121.875,2022,3,3.9
36.5,-121.25,2022,3,2.87
36.5,-120.625,2022,3,3.4
36.5,-120.0,2022,3,3.13
36.5,-119.375,2022,3,3.07
36.5,-118.75,2022,3,1.89
36.5,-118.125,2022,3,4.7
36.5,-117.5,2022,3,3.86
36.5,-116.875,2022,3,3.2
36.5,-116.25,2022,3,3.64
36.5,-115.625,2022,3,5.59
36.5,-115.0,2022,3,3.3
37.0,-121.875,2022,3,3.44
37.0,-121.25,2022,3,3.55
37.0,-120.625,2022,3,2.68
37.0,-120.0,2022,3,3.31
37.0,-119.375,2022,3,2.42
37.0,-118.75,2022,3,5.0
37.0,-118.125,2022,3,3.91
37.0,-117.5,2022,3,3.15
37.0,-116.875,2022,3,4.19
37.0,-116.25,2022,3,4.83
37.0,-115.625,2022,3,5.29
37.0,-115.0,2022,3,2.66
37.5,-121.875,2022,3,5.74
37.5,-121.25,2022,3,3.73
37.5,-120.625,2022,3,3.21
37.5,-120.0,2022,3,3.25
37.5,-119.375,2022,3,2.6
37.5,-118.75,2022,3,9.12
37.5,-118.125,2022,3,4.12
37.5,-117.5,2022,3,5.51
37.5,-116.875,2022,3,6.87
37.5,-116.25,2022,3,6.47
37.5,-115.625,2022,3,5.57
37.5,-115.0,2022,3,4.95
38.0,-121.875,2022,3,7.08
38.0,-121.25,2022,3,5.45
38.0,-120.625,2022,3,3.81
38.0,-120.0,2022,3,2.81
38.0,-119.375,2022,3,8.6
38.0,-118.75,2022,3,10.72
38.0,-118.125,2022,3,3.81
38.0,-117.5,2022,3,5.59
38.0,-116.875,2022,3,6.34
38.0,-116.25,2022,3,6.8
38.0,-115.625,2022,3,6.13
38.0,-115.0,2022,3,6.37
35.0,-121.875,2022,4,8.64
35.0,-121.25,2022,4,7.39
35.0,-120.625,2022,4,4.61
35.0,-120.0,2022,4,5.36
35.0,-119.375,2022,4,5.47
35.0,-118.75,2022,4,6.8
35.0,-118.125,2022,4,6.6
35.0,-117.5,2022,4,4.18
35.0,-116.875,2022,4,4.48
35.0,-116.25,2022,4,3.02
35.0,-115.625,2022,4,2.93
35.0,-115.0,2022,4,3.96
35.5,-121.875,2022,4,7.19
35.5,-121.25,2022,4,4.94
35.5,-120.625,2022,4,3.59
35.5,-120.0,2022,4,4.05
35.5,-119.375,2022,4,3.67
35.5,-118.75,2022,4,5.73
35.5,-118.125,2022,4,4.55
35.5,-117.5,2022,4,2.69
35.5,-116.875,2022,4,2.89
35.5,-116.25,2022,4,2.04
35.5,-115.625,2022,4,3.08
35.5,-115.0,2022,4,3.11
36.0,-121.875,2022,4,5.28
36.0,-121.25,2022,4,3.3
36.0,-120.625,2022,4,2.81
36.0,-120.0,2022,4,3.15
36.0,-119.375,2022,4,3.86
36.0,-118.75,2022,4,5.01
36.0,-118.125,2022,4,3.39
36.0,-117.5,2022,4,1.9
36.0,-116.875,2022,4,0.87
36.0,-116.25,2022,4,2.08
36.0,-115.625,2022,4,2.74
36.0,-115.0,2022,4,2.48
36.5,-121.875,2022,4,3.31
36.5,-121.25,2022,4,2.93
36.5,-120.625,2022,4,3.15
36.5,-120.0,2022,4,3.05
36.5,-119.375,2022,4,3.09
36.5,-118.75,2022,4,2.35
36.5,-118.125,2022,4,4.13
36.5,-117.5,2022,4,1.28
36.5,-116.875,2022,4,1.15
36.5,-116.25,2022,4,2.15
36.5,-115.625,2022,4,3.17
36.5,-115.0,2022,4,2.3
37.0,-121.875,2022,4,2.45
37.0,-121.25,2022,4,2.23
37.0,-120.625,2022,4,2.89
37.0,-120.0,2022,4,2.77
37.0,-119.375,2022,4,2.24
37.0,-118.75,2022,4,3.78
37.0,-118.125,2022,4,3.42
37.0,-117.5,2022,4,1.75
37.0,-116.875,2022,4,1.74
37.0,-116.25,2022,4,2.43
37.0,-115.625,2022,4,2.76
37.0,-115.0,2022,4,2.83
37.5,-121.875,2022,4,3.21
37.5,-121.25,2022,4,2.44
37.5,-120.625,2022,4,2.4
37.5,-120.0,2022,4,2.45
37.5,-119.375,2022,4,2.13
37.5,-118.75,2022,4,7.59
37.5,-118.125,2022,4,3.19
37.5,-117.5,2022,4,2.2
37.5,-116.875,2022,4,3.4
37.5,-116.25,2022,4,4.41
37.5,-115.625,2022,4,3.93
37.5,-115.0,2022,4,3.38
38.0,-121.875,2022,4,4.7
38.0,-121.25,2022,4,4.09
38.0,-120.625,2022,4,2.83
38.0,-120.0,2022,4,1.66
38.0,-119.375,2022,4,8.08
38.0,-118.75,2022,4,9.76
38.0,-118.125,2022,4,3.83
38.0,-117.5,2022,4,3.73
38.0,-116.875,2022,4,4.96
38.0,-116.25,2022,4,4.82
38.0,-115.625,2022,4,4.62
38.0,-115.0,2022,4,4.33
35.0,-121.875,2022,5,9.63
35.0,-121.25,2022,5,7.44
35.0,-120.625,2022,5,6.49
35.0,-120.0,2022,5,8.38
35.0,-119.375,2022,5,5.59
35.0,-118.75,2022,5,5.79
35.0,-118.125,2022,5,5.11
35.0,-117.5,2022,5,3.72
